Open,High,Low,Close,Volume,date
980.0,980.0,934.0,958.0,80500,2022-03-16
939.0,974.0,915.0,959.0,125600,2022-03-15
912.0,953.0,896.0,949.0,130300,2022-03-14
932.0,945.0,894.0,908.0,93800,2022-03-11
932.0,956.0,924.0,954.0,89800,2022-03-10
894.0,918.0,882.0,900.0,89100,2022-03-09
925.0,934.0,886.0,893.0,94400,2022-03-08
975.0,975.0,932.0,944.0,81300,2022-03-07
1022.0,1035.0,983.0,1003.0,63300,2022-03-04
1041.0,1042.0,1021.0,1026.0,39700,2022-03-03
995.0,1042.0,985.0,1030.0,85300,2022-03-02
968.0,1022.0,964.0,1020.0,76100,2022-03-01
962.0,968.0,942.0,957.0,70200,2022-02-28
963.0,975.0,953.0,954.0,68300,2022-02-25
1010.0,1015.0,951.0,953.0,150800,2022-02-24
1038.0,1068.0,1009.0,1011.0,87300,2022-02-22
1047.0,1083.0,1038.0,1068.0,76000,2022-02-21
1100.0,1100.0,1040.0,1050.0,90600,2022-02-18
1062.0,1107.0,1056.0,1102.0,73800,2022-02-17
1071.0,1080.0,1049.0,1079.0,56700,2022-02-16
1089.0,1093.0,1050.0,1050.0,82500,2022-02-15
1053.0,1126.0,1040.0,1104.0,188200,2022-02-14
1076.0,1107.0,1076.0,1100.0,63100,2022-02-10
1042.0,1068.0,1042.0,1068.0,45300,2022-02-09
1072.0,1078.0,1034.0,1040.0,31600,2022-02-08
1072.0,1077.0,1047.0,1067.0,20300,2022-02-07
1060.0,1072.0,1043.0,1067.0,35200,2022-02-04
1086.0,1086.0,1066.0,1069.0,34400,2022-02-03
1082.0,1110.0,1076.0,1110.0,31200,2022-02-02
1061.0,1101.0,1061.0,1081.0,49200,2022-02-01
1041.0,1061.0,1038.0,1046.0,25500,2022-01-31
1045.0,1045.0,1005.0,1041.0,48100,2022-01-28
1093.0,1095.0,1004.0,1015.0,103000,2022-01-27
1065.0,1079.0,1065.0,1066.0,33000,2022-01-26
1072.0,1072.0,1033.0,1046.0,48200,2022-01-25
1073.0,1076.0,1037.0,1072.0,27400,2022-01-24
1057.0,1077.0,1043.0,1073.0,27000,2022-01-21
1084.0,1089.0,1045.0,1082.0,43200,2022-01-20
1090.0,1102.0,1051.0,1061.0,77900,2022-01-19
1113.0,1133.0,1093.0,1094.0,63200,2022-01-18
1106.0,1115.0,1086.0,1092.0,41300,2022-01-17
1098.0,1112.0,1079.0,1106.0,45800,2022-01-14
1137.0,1153.0,1107.0,1128.0,53200,2022-01-13
1109.0,1135.0,1109.0,1131.0,46200,2022-01-12
1103.0,1109.0,1080.0,1106.0,43000,2022-01-11
1102.0,1123.0,1075.0,1103.0,60600,2022-01-07
1119.0,1128.0,1096.0,1103.0,88200,2022-01-06
1172.0,1179.0,1150.0,1157.0,76500,2022-01-05
1200.0,1207.0,1162.0,1174.0,74300,2022-01-04
1186.0,1199.0,1156.0,1188.0,78100,2021-12-30
